#---
#---EXFOR Standard Output---
#=============================================================================
#DATASET        O0851002 
#NOW            2022/03/23:15:09:21
#SUBENT         O0851002   20030501
#ENTRY          O0851      20030501
#AUTHOR1        M.Chiari+
#YEAR           2001
#X4REF1         J,NIM/B,174,259,2001
#REFERENCE1     Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.174, p.259 (2001)
#REACTION       13-AL-27(P,EL)13-AL-27,,DA
#D4REAC         R0#
#C4Reaction     (P,EL),DA
#ReactionType   DA
#Quantity       Differential c/s with respect to angle
#IndVarFamCode  [0 2 4      ]
#ExpectedUnits  [B/SR]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        9
#HEADER         7           9           12
!DATA        ERR-T       ERR-S       ERR-1       ERR-2       ERR-3       EN          EN-ERR      ANG         
!B/SR        PER-CENT    PER-CENT    PER-CENT    PER-CENT    PER-CENT    MEV         KEV         ADEG        
!Y.Value     Y.Err+-     Y.sErr+-    Y.pErr+-    Y.pErr+-    Y.pErr+-    X1.Value    X1.Err+-    X2.Value    
!0.1         0.911       0.944       0.955       0.955       0.955       1.1         1.911       2.1         
!variable    const       const       const       const       const       variable    const       variable    
!1.0         1.0         1.0         1.0         1.0         1.0         1000000.0   1000.0      1.0         
!B/SR        PER-CENT    PER-CENT    PER-CENT    PER-CENT    PER-CENT    EV          EV          ADEG        
#DATA           2512        9           12
 0.431       2.5         1.          1.          0.5         0.5         1.137       3.          105.        
 0.392       2.5         1.          1.          0.5         0.5         1.137       3.          110.        
 0.341       2.5         1.          1.          0.5         0.5         1.137       3.          115.        
 0.307       2.5         1.          1.          0.5         0.5         1.137       3.          120.        
 0.283       2.5         1.          1.          0.5         0.5         1.137       3.          125.        
 0.257       2.5         1.          1.          0.5         0.5         1.137       3.          130.        
 0.239       2.5         1.          1.          0.5         0.5         1.137       3.          135.        
 0.223       2.5         1.          1.          0.5         0.5         1.137       3.          140.        
 0.209       2.5         1.          1.          0.5         0.5         1.137       3.          145.        
 0.2         2.5         1.          1.          0.5         0.5         1.137       3.          150.        
 0.194       2.5         1.          1.          0.5         0.5         1.137       3.          155.        
 0.185       2.5         1.          1.          0.5         0.5         1.137       3.          160.        
 0.178       2.5         1.          1.          0.5         0.5         1.137       3.          165.        
 0.175       2.5         1.          1.          0.5         0.5         1.137       3.          170.        
 0.489       2.5         1.          1.          0.5         0.5         1.149       3.          100.        
 0.417       2.5         1.          1.          0.5         0.5         1.149       3.          105.        
 0.372       2.5         1.          1.          0.5         0.5         1.149       3.          110.        
 0.326       2.5         1.          1.          0.5         0.5         1.149       3.          115.        
 0.294       2.5         1.          1.          0.5         0.5         1.149       3.          120.        
 0.267       2.5         1.          1.          0.5         0.5         1.149       3.          125.        
 0.246       2.5         1.          1.          0.5         0.5         1.149       3.          130.        
 0.231       2.5         1.          1.          0.5         0.5         1.149       3.          135.        
 0.213       2.5         1.          1.          0.5         0.5         1.149       3.          140.        
 0.199       2.5         1.          1.          0.5         0.5         1.149       3.          145.        
 0.19        2.5         1.          1.          0.5         0.5         1.149       3.          150.        
 0.181       2.5         1.          1.          0.5         0.5         1.149       3.          155.        
 0.175       2.5         1.          1.          0.5         0.5         1.149       3.          160.        
 0.169       2.5         1.          1.          0.5         0.5         1.149       3.          165.        
 0.168       2.5         1.          1.          0.5         0.5         1.149       3.          170.        
 0.483       2.5         1.          1.          0.5         0.5         1.161       3.          100.        
 0.414       2.5         1.          1.          0.5         0.5         1.161       3.          105.        
 0.366       2.5         1.          1.          0.5         0.5         1.161       3.          110.        
 0.325       2.5         1.          1.          0.5         0.5         1.161       3.          115.        
 0.291       2.5         1.          1.          0.5         0.5         1.161       3.          120.        
 0.265       2.5         1.          1.          0.5         0.5         1.161       3.          125.        
 0.244       2.5         1.          1.          0.5         0.5         1.161       3.          130.        
 0.224       2.5         1.          1.          0.5         0.5         1.161       3.          135.        
 0.21        2.5         1.          1.          0.5         0.5         1.161       3.          140.        
 0.197       2.5         1.          1.          0.5         0.5         1.161       3.          145.        
 0.187       2.5         1.          1.          0.5         0.5         1.161       3.          150.        
 0.179       2.5         1.          1.          0.5         0.5         1.161       3.          155.        
 0.172       2.5         1.          1.          0.5         0.5         1.161       3.          160.        
 0.168       2.5         1.          1.          0.5         0.5         1.161       3.          165.        
 0.164       2.5         1.          1.          0.5         0.5         1.161       3.          170.        
 0.465       2.5         1.          1.          0.5         0.5         1.173       3.          100.        
 0.404       2.5         1.          1.          0.5         0.5         1.173       3.          105.        
 0.355       2.5         1.          1.          0.5         0.5         1.173       3.          110.        
 0.306       2.5         1.          1.          0.5         0.5         1.173       3.          115.        
 0.278       2.5         1.          1.          0.5         0.5         1.173       3.          120.        
 0.255       2.5         1.          1.          0.5         0.5         1.173       3.          125.        
 0.232       2.5         1.          1.          0.5         0.5         1.173       3.          130.        
 0.216       2.5         1.          1.          0.5         0.5         1.173       3.          135.        
 0.2         2.5         1.          1.          0.5         0.5         1.173       3.          140.        
 0.187       2.5         1.          1.          0.5         0.5         1.173       3.          145.        
 0.176       2.5         1.          1.          0.5         0.5         1.173       3.          150.        
 0.169       2.5         1.          1.          0.5         0.5         1.173       3.          155.        
 0.163       2.5         1.          1.          0.5         0.5         1.173       3.          160.        
 0.158       2.5         1.          1.          0.5         0.5         1.173       3.          165.        
 0.154       2.5         1.          1.          0.5         0.5         1.173       3.          170.        
 0.442       2.5         1.          1.          0.5         0.5         1.185       3.          100.        
 0.375       2.5         1.          1.          0.5         0.5         1.185       3.          105.        
 0.336       2.5         1.          1.          0.5         0.5         1.185       3.          110.        
